RowId,RssdId,ParentId,InstitutionName,InstitutionType,City,StateOrCountry
1029,5589023,5372074,EATON VANCE GLOBAL ADVISORS LIMITED,International Nonbank Sub of Domestic Entities,DUBLIN,IRELAND                                 
1030,5372083,3936267,MORGAN STANLEY EUROPE HOLDING SE,International Nonbank Sub of Domestic Entities,FRANKFURT AM MAIN,GERMANY                                 
1031,5081714,5372083,MORGAN STANLEY FRANCE HOLDINGS I S.A.S.,International Nonbank Sub of Domestic Entities,PARIS,FRANCE (OTHER)                          
1032,4024200,5081714,MORGAN STANLEY FRANCE S.A.,International Nonbank Sub of Domestic Entities,PARIS,FRANCE (OTHER)                          
1033,5086241,5081714,MORGAN STANLEY FRANCE HOLDINGS II S.A.S.,International Nonbank Sub of Domestic Entities,PARIS,FRANCE (OTHER)                          
1034,4024200,5086241,MORGAN STANLEY FRANCE S.A.,International Nonbank Sub of Domestic Entities,PARIS,FRANCE (OTHER)                          
1035,5372104,5372083,MORGAN STANLEY EUROPE SE,International Nonbank Sub of Domestic Entities,FRANKFURT AM MAIN,GERMANY                                 
1036,3936717,5372104,MORGAN STANLEY BANK AG,International Nonbank Sub of Domestic Entities,FRANKFURT AM MAIN,GERMANY                                 
1037,4051756,3936267,MORGAN STANLEY EMPLOYMENT SERVICES UK LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1038,3937116,3936267,MORGAN STANLEY UK GROUP,International Nonbank Sub of Domestic Entities,LONDON,ENGLAND                                 
1039,3937086,3937116,MORGAN STANLEY SERVICES (UK) LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
